Base,Base Name,Date,Number of trips,Number of Vehicles
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,2015-06-12,9,3
B00381,BELL RADIO INC,2015-06-12,281,91
B00411,FONE-A-CAR INC,2015-06-12,176,57
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-06-12,326,81
B00475,RIDGE TRANSPORTATION CORP.,2015-06-12,121,8
B00477,INTA-BORO ACRES INC,2015-06-12,417,138
B00552,HINO-MARU ENTERPRISES INC.,2015-06-12,41,31
B00608,SUMMIT CORP CAR INC,2015-06-12,125,37
B00619,LINCOLN LIMO SVCE INC,2015-06-12,2,2
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-06-12,17,6
B00706,"VIC & BAY CAR SERVICE, INC",2015-06-12,488,21
B00789,VITAL TRANSPORTATION INC.,2015-06-12,588,192
B00837,CAREY LIMO N Y INC,2015-06-12,480,169
b00881,CROSSBAY CAR SERVICE INC.,2015-06-12,44,20
B00888,ACE C/L SVCE INC,2015-06-12,110,38
B00889,MEXICANA CAR SERVICE INC.,2015-06-12,792,79
B00948,510 CAR SERVICE CORP,2015-06-12,614,58
b01009,UNITED LIMO C/M SVC CORP,2015-06-12,39,8
B01016,810 CAR SVCE CORP,2015-06-12,1188,82
b01039,NYC WHEELS CAR SERVICE INC.,2015-06-12,10,10
b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,2015-06-12,134,8
b01129,GTWY INC,2015-06-12,257,20
B01148,EVELYN CAR SERVICE INC,2015-06-12,417,54
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-06-12,253,85
B01269,DIVISION CAR & LIMO INC.,2015-06-12,26,6
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,2015-06-12,76,7
B01306,"R N D TRANSPORTATION, INC.",2015-06-12,44,11
B01308,LIL'D DISPATCH INC.,2015-06-12,103,24
B01313,JOY CAR SERVICES INC.,2015-06-12,24,20
B01318,LOWER EAST SIDE C/S CORP,2015-06-12,1132,96
B01340,UNICAR COMPANY INC,2015-06-12,1205,134
B01346,ARECIBO C/S INC,2015-06-12,95,12
B01351,HADERECH CAR SERVICE INC,2015-06-12,15,5
B01355,NEW HARLEM C/S INC,2015-06-12,578,49
B01367,"ROYAL DISPATCH SERVICES, INC.",2015-06-12,213,82
B01379,J.J.S. TRANSPORTATION CO. INC.,2015-06-12,72,5
B01391,ROSE 'N' DALE C/S INC,2015-06-12,134,12
B01432,TOVAR TRANSPORTATION INC,2015-06-12,205,26
B01445,J T TRANS CO INC,2015-06-12,180,50
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",2015-06-12,101,14
B01509,"BRUNWISH ENTERPRISES,LTD.",2015-06-12,833,69
B01522,"STM ENTERPRISES,INC",2015-06-12,119,15
B01559,MUNKACS CAR SVC LTD,2015-06-12,282,19
B01606,LA MEXICANA EXPRESS INC.,2015-06-12,3732,123
B01608,JERUSALEM CAR COM.INC.,2015-06-12,21,7
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-06-12,81,11
B01625,GLOBE CAR SERVICE INC,2015-06-12,104,10
B01626,LA NUEVA QUISQUEYA C/S INC,2015-06-12,1502,133
B01635,HAR-SINAY CAR & LIMO SVC INC,2015-06-12,26,8
B01672,NEW DAYNIGHT CAR SVCE,2015-06-12,38,22
B01721,W.K. CAR & LIMO SERVICE INC,2015-06-12,442,62
B01726,SUPER CLASS RADIO DISP INC,2015-06-12,1127,163
B01727,"CHAUFFEUR SERVICES, INC.",2015-06-12,4,3
B01730,LUCKY EXPRESS CORPORATION,2015-06-12,4,4
B01779,APEX CAR & LIMO SVCE INC,2015-06-12,38,17
B01818,"TA-TA TRANSPORTATION, INC.",2015-06-12,5,4
B01846,ROMANTIQUE LIMOUSINE INC.,2015-06-12,2,2
B01849,JOE PAL LIMOUSINE LTD,2015-06-12,4,3
B01875,ON LINE LIMOUSINE LLC,2015-06-12,152,42
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2015-06-12,3,2
B01877,U.S.A. LIMO. INC.,2015-06-12,243,102
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-06-12,652,80
B01923,"AVID INTERNATIONAL, INC.",2015-06-12,35,9
B01928,DISCOVER LIMO INC,2015-06-12,4,2
B01957,"ANIMO, INC",2015-06-12,4,2
B01970,GRAFE STREET SERVICE CORP.,2015-06-12,12,9
B01979,DREAMLAND CAR & LIMO.SVC INC.,2015-06-12,1,1
B01980,"READY TO ROLL TRANSPORTATION, INC.",2015-06-12,35,17
B01984,NY 88 EXPRESS CORP.,2015-06-12,765,123
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,2015-06-12,64,13
B01998,FIRST CORPORATE SEDANS INC.,2015-06-12,407,181
B02003,"AVALON CORPORATE CAR,INC.",2015-06-12,142,73
B02021,EASYRIDE CAR SERVICE INC.,2015-06-12,41,6
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,2015-06-12,12,6
B02073,"STARGATE LIMOUSINE, INC.",2015-06-12,8,6
B02099,SUNNY'S LIMOUSINE SERVICE INC,2015-06-12,157,62
B02110,"OPTIMUM CAR & LIMO, INC.",2015-06-12,99,9
B02133,"TWR CAR & LIMO, INC.",2015-06-12,89,33
B02138,"GUADALUPANA CAR LIMO, INC",2015-06-12,334,26
B02147,"MITA LIMOUSINE, INC.",2015-06-12,37,16
B02155,ABA LUXURY CAR INC.,2015-06-12,14,10
B02157,REAGAN CONVEYANCE  CORP.,2015-06-12,183,100
B02160,"12TH STREET LUXURY CARS, INC.",2015-06-12,10,10
B02175,MURRAY'S LIMOUSINE SERVICE INC.,2015-06-12,1,1
B02180,PEGASUS TRANSPORT SERVICE INC.,2015-06-12,42,24
B02182,"FINEST CAR SERVICE, LLC",2015-06-12,11,2
B02191,US LIMO SYSTEM INC,2015-06-12,38,17
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",2015-06-12,2,2
B02217,PCS LIMOUSINE INC.,2015-06-12,17,8
B02240,NEW APPLE TRANS. INC.,2015-06-12,29,14
B02248,HYBRID LIMO EXPRESS INC.,2015-06-12,8,1
B02252,ASIANA LIMOUSINE INC.,2015-06-12,3,1
B02265,"COUNTY CAR SERVICE, INC.",2015-06-12,39,3
B02285,"VALERA GLOBAL, INC.",2015-06-12,184,81
B02287,"ROAD NEW YORK ENTERPRISES, INC.",2015-06-12,2,2
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,2015-06-12,10,4
b02301,DOUBLE A CAR SERVICE INC.,2015-06-12,529,27
B02306,ACCUELIMO LUXURY LLC,2015-06-12,127,19
B02308,NORWOOD CAR & LIMO INC.,2015-06-12,59,13
B02389,"EMBARQUE N.Y., INC.",2015-06-12,56,17
B02397,CHICO EXPRESS CORP. 2,2015-06-12,229,15
B02416,"NEW STORM CAR SERVICE, INC.",2015-06-12,64,5
B02447,"NEW HAMPTON CAR & LIMO, INC.",2015-06-12,3,3
B02462,TIFFANY'S CAR SERVICE INC.,2015-06-12,101,18
B02468,GROUNDLINK HOLDINGS LLC,2015-06-12,120,37
B02470,CRI LIMO INC.,2015-06-12,23,9
B02491,CALL THREES LLC,2015-06-12,33,5
B02517,LOS PAISANOS LUXURY C/S INC.,2015-06-12,10,5
B02541,HIBA CAR & LIMO SVC INC.,2015-06-12,12,9
B02542,BAILEY LUXURY & LIMOUSINE CORP.,2015-06-12,3,2
B02564,LAGUARDIA LUXURY CAR & LIMO,2015-06-12,2,2
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",2015-06-12,63,42
B02611,SS LIMOUSINE SERVICE INC,2015-06-12,31,9
B02631,"CONFIDENTIAL HOLDINGS, LLC",2015-06-12,4,2
B02633,USHLS CORP,2015-06-12,1,1
B02637,ROOSEVELT CAR & LIMO INC.,2015-06-12,9,6
B02653,NEW COLLEGE CAR SVCE INC,2015-06-12,901,110
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",2015-06-12,10,7
B02673,CONCORDE LIMOUSINE INC,2015-06-12,5,4
B02674,ELAL CAR LIMO SERVICE LLC,2015-06-12,48,7
B02675,FRIELECH CAR & LIMO SERVICE INC,2015-06-12,13,6
B02681,DIRECT CAR & LIMO SERVICE INC.,2015-06-12,16,5
B02694,CITY LIMOUSINE TRANSPORTATION INC.,2015-06-12,10,10
B02710,PARADA CAR SERVICE,2015-06-12,4,4
B02711,204 CAR & LIMO INC,2015-06-12,8,2
B02715,GROUNDANYWHERE LLC,2015-06-12,365,129
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",2015-06-12,186,1
B02751,RELIANCE GROUP INC,2015-06-12,3,3
b02754,TIGER CAR SERVICE INC.,2015-06-12,6,1
B02808,INVASORA EXPRESS CAR SERVICE CORP.,2015-06-12,4,4
B02821,E5 TRANSPORTATION SOLUTIONS INC.,2015-06-12,87,8
B00008,T-D MAINTENANCE CORP,2015-06-13,258,14
B00009,T-D MAINTENANCE,2015-06-13,374,12
B00013,LOVE CORP CAR INC,2015-06-13,106,59
B00014,NY ONE CORP CAR INC,2015-06-13,151,72
B00030,TREMONT DISPATCHING CORP,2015-06-13,143,15
B00037,TRANSP UNLIMITED C/S,2015-06-13,592,46
B00083,PAGE-A-RIDE INC,2015-06-13,1,1
B00095,LIBERTY CAR SERVICE INC.,2015-06-13,860,68
B00202,"EXCELSIOR CAR & LIMO, INC.",2015-06-13,27,4
B00208,ERNEST SCHWARZ INC,2015-06-13,6,5
B00210,QUEENS DISPATCH SVC INC.,2015-06-13,62,19
B00221,PROFESSIONAL CAR SERVICE INC,2015-06-13,301,72
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-06-13,120,63
B00235,"ARISTACAR & LIMOUSINE, LTD.",2015-06-13,3,3
B00236,LAST RADIO GROUP CORP.,2015-06-13,5,3
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-06-13,899,119
B00254,XYZ TWO WAY RADIO,2015-06-13,286,120
B00277,ALL CITY CORP TRANS INC,2015-06-13,25,14
B00281,"VEE CEE LIMOUSINE SERVICE, INC",2015-06-13,68,6
B00296,PRIME TIME TRANS. INC,2015-06-13,12,7
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,2015-06-13,12,3
B00381,BELL RADIO INC,2015-06-13,66,32
B00411,FONE-A-CAR INC,2015-06-13,28,17
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-06-13,163,37
B00475,RIDGE TRANSPORTATION CORP.,2015-06-13,126,8
B00477,INTA-BORO ACRES INC,2015-06-13,169,73
B00552,HINO-MARU ENTERPRISES INC.,2015-06-13,26,17
B00608,SUMMIT CORP CAR INC,2015-06-13,35,19
B00619,LINCOLN LIMO SVCE INC,2015-06-13,1,1
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-06-13,5,3
B00706,"VIC & BAY CAR SERVICE, INC",2015-06-13,378,18
B00789,VITAL TRANSPORTATION INC.,2015-06-13,195,90
B00837,CAREY LIMO N Y INC,2015-06-13,218,85
b00881,CROSSBAY CAR SERVICE INC.,2015-06-13,31,19
B00888,ACE C/L SVCE INC,2015-06-13,13,10
B00889,MEXICANA CAR SERVICE INC.,2015-06-13,945,77
B00948,510 CAR SERVICE CORP,2015-06-13,622,60
B01016,810 CAR SVCE CORP,2015-06-13,1075,77
b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,2015-06-13,170,8
b01129,GTWY INC,2015-06-13,261,20
B01148,EVELYN CAR SERVICE INC,2015-06-13,414,51
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-06-13,98,37
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,2015-06-13,76,7
B01306,"R N D TRANSPORTATION, INC.",2015-06-13,37,12
B01308,LIL'D DISPATCH INC.,2015-06-13,7,7
B01313,JOY CAR SERVICES INC.,2015-06-13,46,42
B01318,LOWER EAST SIDE C/S CORP,2015-06-13,936,84
B01340,UNICAR COMPANY INC,2015-06-13,1285,130
B01346,ARECIBO C/S INC,2015-06-13,104,11
B01355,NEW HARLEM C/S INC,2015-06-13,672,51
B01367,"ROYAL DISPATCH SERVICES, INC.",2015-06-13,49,28
B01379,J.J.S. TRANSPORTATION CO. INC.,2015-06-13,35,3
B01391,ROSE 'N' DALE C/S INC,2015-06-13,131,12
B01432,TOVAR TRANSPORTATION INC,2015-06-13,36,10
B01445,J T TRANS CO INC,2015-06-13,72,41
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",2015-06-13,115,14
B01509,"BRUNWISH ENTERPRISES,LTD.",2015-06-13,802,69
B01522,"STM ENTERPRISES,INC",2015-06-13,59,14
B01606,LA MEXICANA EXPRESS INC.,2015-06-13,4190,124
B01608,JERUSALEM CAR COM.INC.,2015-06-13,4,2
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-06-13,89,9
B01625,GLOBE CAR SERVICE INC,2015-06-13,108,10
B01626,LA NUEVA QUISQUEYA C/S INC,2015-06-13,1898,129
B01672,NEW DAYNIGHT CAR SVCE,2015-06-13,47,29
B01721,W.K. CAR & LIMO SERVICE INC,2015-06-13,395,59
B01726,SUPER CLASS RADIO DISP INC,2015-06-13,1291,154
B01727,"CHAUFFEUR SERVICES, INC.",2015-06-13,2,1
B01730,LUCKY EXPRESS CORPORATION,2015-06-13,1,1
B01779,APEX CAR & LIMO SVCE INC,2015-06-13,20,9
B01818,"TA-TA TRANSPORTATION, INC.",2015-06-13,4,4
B01846,ROMANTIQUE LIMOUSINE INC.,2015-06-13,8,7
B01849,JOE PAL LIMOUSINE LTD,2015-06-13,2,2
B01875,ON LINE LIMOUSINE LLC,2015-06-13,37,13
B01877,U.S.A. LIMO. INC.,2015-06-13,93,50
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-06-13,499,54
B01923,"AVID INTERNATIONAL, INC.",2015-06-13,25,8
B01957,"ANIMO, INC",2015-06-13,1,1
B01970,GRAFE STREET SERVICE CORP.,2015-06-13,10,4
B01979,DREAMLAND CAR & LIMO.SVC INC.,2015-06-13,1,1
B01980,"READY TO ROLL TRANSPORTATION, INC.",2015-06-13,20,12
B01984,NY 88 EXPRESS CORP.,2015-06-13,405,92
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,2015-06-13,103,14
B01998,FIRST CORPORATE SEDANS INC.,2015-06-13,149,74
B02003,"AVALON CORPORATE CAR,INC.",2015-06-13,54,33
B02021,EASYRIDE CAR SERVICE INC.,2015-06-13,41,4
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,2015-06-13,2,2
B02073,"STARGATE LIMOUSINE, INC.",2015-06-13,1,1
B02096,"CET GROUP, INC",2015-06-13,1,1
B02099,SUNNY'S LIMOUSINE SERVICE INC,2015-06-13,54,21
B02110,"OPTIMUM CAR & LIMO, INC.",2015-06-13,73,8
B02133,"TWR CAR & LIMO, INC.",2015-06-13,20,15
B02138,"GUADALUPANA CAR LIMO, INC",2015-06-13,372,23
B02147,"MITA LIMOUSINE, INC.",2015-06-13,16,11
B02155,ABA LUXURY CAR INC.,2015-06-13,11,9
B02157,REAGAN CONVEYANCE  CORP.,2015-06-13,109,72
B02160,"12TH STREET LUXURY CARS, INC.",2015-06-13,1,1
B02180,PEGASUS TRANSPORT SERVICE INC.,2015-06-13,4,4
B02182,"FINEST CAR SERVICE, LLC",2015-06-13,10,1
B02191,US LIMO SYSTEM INC,2015-06-13,8,5
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",2015-06-13,4,2
B02217,PCS LIMOUSINE INC.,2015-06-13,9,6
B02240,NEW APPLE TRANS. INC.,2015-06-13,6,6
B02248,HYBRID LIMO EXPRESS INC.,2015-06-13,8,1
B02252,ASIANA LIMOUSINE INC.,2015-06-13,6,2
B02265,"COUNTY CAR SERVICE, INC.",2015-06-13,8,1
B02285,"VALERA GLOBAL, INC.",2015-06-13,81,37
B02287,"ROAD NEW YORK ENTERPRISES, INC.",2015-06-13,5,3
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,2015-06-13,3,2
b02301,DOUBLE A CAR SERVICE INC.,2015-06-13,553,24
B02306,ACCUELIMO LUXURY LLC,2015-06-13,137,18
B02308,NORWOOD CAR & LIMO INC.,2015-06-13,18,9
B02389,"EMBARQUE N.Y., INC.",2015-06-13,16,6
B02397,CHICO EXPRESS CORP. 2,2015-06-13,223,15
B02416,"NEW STORM CAR SERVICE, INC.",2015-06-13,54,5
B02447,"NEW HAMPTON CAR & LIMO, INC.",2015-06-13,2,2
B02462,TIFFANY'S CAR SERVICE INC.,2015-06-13,125,17
B02468,GROUNDLINK HOLDINGS LLC,2015-06-13,64,22
B02470,CRI LIMO INC.,2015-06-13,5,3
B02491,CALL THREES LLC,2015-06-13,12,3
B02517,LOS PAISANOS LUXURY C/S INC.,2015-06-13,10,6
B02541,HIBA CAR & LIMO SVC INC.,2015-06-13,13,10
B02542,BAILEY LUXURY & LIMOUSINE CORP.,2015-06-13,5,3
B02564,LAGUARDIA LUXURY CAR & LIMO,2015-06-13,1,1
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",2015-06-13,39,24
B02611,SS LIMOUSINE SERVICE INC,2015-06-13,17,4
B02631,"CONFIDENTIAL HOLDINGS, LLC",2015-06-13,3,2
B02637,ROOSEVELT CAR & LIMO INC.,2015-06-13,8,8
B02653,NEW COLLEGE CAR SVCE INC,2015-06-13,1007,108
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",2015-06-13,2,2
B02673,CONCORDE LIMOUSINE INC,2015-06-13,3,2
B02674,ELAL CAR LIMO SERVICE LLC,2015-06-13,14,3
B02681,DIRECT CAR & LIMO SERVICE INC.,2015-06-13,10,3
B02694,CITY LIMOUSINE TRANSPORTATION INC.,2015-06-13,9,7
B02711,204 CAR & LIMO INC,2015-06-13,10,3
B02715,GROUNDANYWHERE LLC,2015-06-13,192,80
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",2015-06-13,226,1
B02751,RELIANCE GROUP INC,2015-06-13,2,2
b02754,TIGER CAR SERVICE INC.,2015-06-13,14,2
B02808,INVASORA EXPRESS CAR SERVICE CORP.,2015-06-13,12,4
B02821,E5 TRANSPORTATION SOLUTIONS INC.,2015-06-13,33,5
B00008,T-D MAINTENANCE CORP,2015-06-14,190,13
B00009,T-D MAINTENANCE,2015-06-14,296,12
B00013,LOVE CORP CAR INC,2015-06-14,134,51
B00014,NY ONE CORP CAR INC,2015-06-14,188,67
B00030,TREMONT DISPATCHING CORP,2015-06-14,227,17
B00037,TRANSP UNLIMITED C/S,2015-06-14,484,39
B00083,PAGE-A-RIDE INC,2015-06-14,4,2
B00095,LIBERTY CAR SERVICE INC.,2015-06-14,752,60
B00170,EMUNAH CAR SERVICE INC,2015-06-14,52,9
B00202,"EXCELSIOR CAR & LIMO, INC.",2015-06-14,21,5
B00208,ERNEST SCHWARZ INC,2015-06-14,6,4
B00210,QUEENS DISPATCH SVC INC.,2015-06-14,44,9
B00221,PROFESSIONAL CAR SERVICE INC,2015-06-14,260,58
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-06-14,204,85
B00235,"ARISTACAR & LIMOUSINE, LTD.",2015-06-14,4,3
B00236,LAST RADIO GROUP CORP.,2015-06-14,12,6
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-06-14,884,106
B00254,XYZ TWO WAY RADIO,2015-06-14,287,103
B00277,ALL CITY CORP TRANS INC,2015-06-14,15,11
B00281,"VEE CEE LIMOUSINE SERVICE, INC",2015-06-14,58,6
B00296,PRIME TIME TRANS. INC,2015-06-14,20,12
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,2015-06-14,14,4
B00381,BELL RADIO INC,2015-06-14,99,38
B00411,FONE-A-CAR INC,2015-06-14,46,19
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-06-14,153,41
B00475,RIDGE TRANSPORTATION CORP.,2015-06-14,77,6
B00477,INTA-BORO ACRES INC,2015-06-14,151,58
B00552,HINO-MARU ENTERPRISES INC.,2015-06-14,31,19
B00608,SUMMIT CORP CAR INC,2015-06-14,60,20
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-06-14,10,4
B00706,"VIC & BAY CAR SERVICE, INC",2015-06-14,303,14
B00789,VITAL TRANSPORTATION INC.,2015-06-14,208,76
B00837,CAREY LIMO N Y INC,2015-06-14,332,107
b00881,CROSSBAY CAR SERVICE INC.,2015-06-14,22,9
B00888,ACE C/L SVCE INC,2015-06-14,51,23
B00889,MEXICANA CAR SERVICE INC.,2015-06-14,1006,72
B00948,510 CAR SERVICE CORP,2015-06-14,562,59
b01009,UNITED LIMO C/M SVC CORP,2015-06-14,50,8
B01016,810 CAR SVCE CORP,2015-06-14,1050,77
b01039,NYC WHEELS CAR SERVICE INC.,2015-06-14,10,10
b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,2015-06-14,128,8
b01129,GTWY INC,2015-06-14,255,20
B01148,EVELYN CAR SERVICE INC,2015-06-14,419,45
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-06-14,100,43
B01269,DIVISION CAR & LIMO INC.,2015-06-14,38,6
B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,2015-06-14,63,7
B01306,"R N D TRANSPORTATION, INC.",2015-06-14,29,7
B01308,LIL'D DISPATCH INC.,2015-06-14,5,4
B01313,JOY CAR SERVICES INC.,2015-06-14,32,30
B01318,LOWER EAST SIDE C/S CORP,2015-06-14,845,65
B01340,UNICAR COMPANY INC,2015-06-14,1096,124
B01346,ARECIBO C/S INC,2015-06-14,87,9
B01355,NEW HARLEM C/S INC,2015-06-14,454,44
B01367,"ROYAL DISPATCH SERVICES, INC.",2015-06-14,101,40
B01379,J.J.S. TRANSPORTATION CO. INC.,2015-06-14,11,1
B01391,ROSE 'N' DALE C/S INC,2015-06-14,140,12
B01432,TOVAR TRANSPORTATION INC,2015-06-14,231,26
B01445,J T TRANS CO INC,2015-06-14,64,41
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",2015-06-14,99,9
B01509,"BRUNWISH ENTERPRISES,LTD.",2015-06-14,755,60
B01522,"STM ENTERPRISES,INC",2015-06-14,55,12
B01559,MUNKACS CAR SVC LTD,2015-06-14,439,22
B01606,LA MEXICANA EXPRESS INC.,2015-06-14,3065,100
B01608,JERUSALEM CAR COM.INC.,2015-06-14,9,3
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-06-14,75,8
B01625,GLOBE CAR SERVICE INC,2015-06-14,111,10
B01626,LA NUEVA QUISQUEYA C/S INC,2015-06-14,1932,121
B01635,HAR-SINAY CAR & LIMO SVC INC,2015-06-14,38,8
B01672,NEW DAYNIGHT CAR SVCE,2015-06-14,37,21
B01721,W.K. CAR & LIMO SERVICE INC,2015-06-14,306,48
B01726,SUPER CLASS RADIO DISP INC,2015-06-14,1344,147
B01727,"CHAUFFEUR SERVICES, INC.",2015-06-14,2,1
B01779,APEX CAR & LIMO SVCE INC,2015-06-14,25,10
B01818,"TA-TA TRANSPORTATION, INC.",2015-06-14,6,5
B01846,ROMANTIQUE LIMOUSINE INC.,2015-06-14,4,4
B01849,JOE PAL LIMOUSINE LTD,2015-06-14,2,1
B01875,ON LINE LIMOUSINE LLC,2015-06-14,10,3
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2015-06-14,4,1
B01877,U.S.A. LIMO. INC.,2015-06-14,122,53
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-06-14,462,47
B01923,"AVID INTERNATIONAL, INC.",2015-06-14,33,8
B01928,DISCOVER LIMO INC,2015-06-14,1,1
B01957,"ANIMO, INC",2015-06-14,4,1
B01970,GRAFE STREET SERVICE CORP.,2015-06-14,2,1
B01979,DREAMLAND CAR & LIMO.SVC INC.,2015-06-14,1,1
B01980,"READY TO ROLL TRANSPORTATION, INC.",2015-06-14,18,13
B01984,NY 88 EXPRESS CORP.,2015-06-14,140,48
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,2015-06-14,88,15
B01998,FIRST CORPORATE SEDANS INC.,2015-06-14,169,79
B02003,"AVALON CORPORATE CAR,INC.",2015-06-14,49,30
B02021,EASYRIDE CAR SERVICE INC.,2015-06-14,60,6
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,2015-06-14,9,3
B02073,"STARGATE LIMOUSINE, INC.",2015-06-14,3,2
B02099,SUNNY'S LIMOUSINE SERVICE INC,2015-06-14,84,33
B02110,"OPTIMUM CAR & LIMO, INC.",2015-06-14,42,5
B02133,"TWR CAR & LIMO, INC.",2015-06-14,13,7
B02138,"GUADALUPANA CAR LIMO, INC",2015-06-14,344,23
B02147,"MITA LIMOUSINE, INC.",2015-06-14,22,13
B02155,ABA LUXURY CAR INC.,2015-06-14,11,6
B02157,REAGAN CONVEYANCE  CORP.,2015-06-14,150,78
B02175,MURRAY'S LIMOUSINE SERVICE INC.,2015-06-14,1,1
B02180,PEGASUS TRANSPORT SERVICE INC.,2015-06-14,5,4
B02182,"FINEST CAR SERVICE, LLC",2015-06-14,5,1
B02191,US LIMO SYSTEM INC,2015-06-14,21,9
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",2015-06-14,2,2
B02217,PCS LIMOUSINE INC.,2015-06-14,5,4
B02240,NEW APPLE TRANS. INC.,2015-06-14,8,6
B02248,HYBRID LIMO EXPRESS INC.,2015-06-14,8,1
B02252,ASIANA LIMOUSINE INC.,2015-06-14,6,3
B02265,"COUNTY CAR SERVICE, INC.",2015-06-14,4,1
B02285,"VALERA GLOBAL, INC.",2015-06-14,66,37
B02287,"ROAD NEW YORK ENTERPRISES, INC.",2015-06-14,7,5
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,2015-06-14,2,1
b02301,DOUBLE A CAR SERVICE INC.,2015-06-14,417,22
B02306,ACCUELIMO LUXURY LLC,2015-06-14,127,16
B02389,"EMBARQUE N.Y., INC.",2015-06-14,23,7
B02397,CHICO EXPRESS CORP. 2,2015-06-14,268,14
B02416,"NEW STORM CAR SERVICE, INC.",2015-06-14,54,5
B02447,"NEW HAMPTON CAR & LIMO, INC.",2015-06-14,2,2
B02462,TIFFANY'S CAR SERVICE INC.,2015-06-14,79,16
B02468,GROUNDLINK HOLDINGS LLC,2015-06-14,48,16
B02470,CRI LIMO INC.,2015-06-14,6,3
B02491,CALL THREES LLC,2015-06-14,19,3
B02517,LOS PAISANOS LUXURY C/S INC.,2015-06-14,10,7
B02541,HIBA CAR & LIMO SVC INC.,2015-06-14,7,5
B02564,LAGUARDIA LUXURY CAR & LIMO,2015-06-14,1,1
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",2015-06-14,77,45
B02611,SS LIMOUSINE SERVICE INC,2015-06-14,12,6
B02631,"CONFIDENTIAL HOLDINGS, LLC",2015-06-14,1,1
B02633,USHLS CORP,2015-06-14,2,2
B02637,ROOSEVELT CAR & LIMO INC.,2015-06-14,6,6
B02653,NEW COLLEGE CAR SVCE INC,2015-06-14,897,97
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",2015-06-14,6,6
B02673,CONCORDE LIMOUSINE INC,2015-06-14,2,2
B02675,FRIELECH CAR & LIMO SERVICE INC,2015-06-14,14,5
B02681,DIRECT CAR & LIMO SERVICE INC.,2015-06-14,12,2
B02689,OCS LIMO CORP.,2015-06-14,2,1
B02694,CITY LIMOUSINE TRANSPORTATION INC.,2015-06-14,9,9
B02715,GROUNDANYWHERE LLC,2015-06-14,223,77
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",2015-06-14,200,1
B02751,RELIANCE GROUP INC,2015-06-14,1,1
B02808,INVASORA EXPRESS CAR SERVICE CORP.,2015-06-14,4,2
B02821,E5 TRANSPORTATION SOLUTIONS INC.,2015-06-14,30,3
