Base,Date,Number of trips
B02682,2015-06-22,23482
B02682,2015-05-14,23394
B02682,2015-06-29,23269
B02682,2015-06-08,22940
B02682,2015-04-25,22736
B02682,2015-05-08,22599
B02682,2015-05-19,22399
B02682,2015-05-01,22218
B02682,2015-05-07,21595
B02682,2015-05-13,21317
B02682,2015-05-10,21089
B02682,2015-04-24,21024
B02682,2015-05-24,20670
B02682,2015-05-18,20555
B02682,2015-05-26,20497
B02682,2015-04-18,20175
B02682,2015-05-12,20136
B02682,2015-05-06,19964
B02682,2015-05-03,19959
B02682,2015-04-23,19070
B02682,2015-04-26,18891
B02682,2015-05-05,18609
B02682,2015-04-30,18595
B02682,2015-05-25,18487
B02682,2015-05-11,18405
B02682,2015-04-17,17954
B02682,2015-04-11,17572
B02682,2015-04-22,17273
B02682,2015-04-29,17128
B02682,2015-03-28,16972
B02682,2015-04-20,16958
B02682,2015-04-19,16729
B02682,2015-05-04,16626
B02682,2015-04-10,16565
B02682,2015-02-14,16319
B02682,2015-03-20,16253
B02682,2015-02-20,16188
B02682,2015-04-16,16152
B02682,2015-02-21,16099
B02682,2015-02-13,15930
B02682,2015-04-28,15592
B02682,2015-04-09,15550
B02682,2015-03-27,15526
B02682,2015-04-03,15343
B02682,2015-01-31,15282
B02682,2015-03-14,15178
B02682,2015-02-27,14930
B02682,2015-04-21,14882
B02682,2015-04-27,14813
B02682,2015-03-21,14622
B02682,2015-02-15,14536
B02682,2015-02-19,14425
B02682,2015-02-28,14402
B02682,2015-04-04,14380
B02682,2015-02-06,14292
B02682,2015-04-08,14248
B02682,2015-04-02,14220
B02682,2015-03-31,14051
B02682,2015-04-12,14024
B02682,2015-04-15,13952
B02682,2015-02-12,13776
B02682,2015-02-26,13748
B02682,2015-01-30,13701
B02682,2015-03-26,13689
B02682,2015-03-29,13675
B02682,2015-02-05,13616
B02682,2015-04-01,13440
B02682,2015-04-14,13395
B02682,2015-02-07,13370
B02682,2015-01-24,13352
B02682,2015-04-07,13265
B02682,2015-03-19,13203
B02682,2015-03-07,13135
B02682,2015-03-13,13126
B02682,2015-03-25,13074
B02682,2015-03-06,12981
B02682,2015-02-25,12651
B02682,2015-02-24,12564
B02682,2015-02-01,12312
B02682,2015-03-05,12222
B02682,2015-03-22,12218
B02682,2015-02-11,12194
B02682,2015-04-05,12120
B02682,2015-03-12,12113
B02682,2015-04-13,12111
B02682,2015-03-18,12078
B02682,2015-02-02,11956
B02682,2015-02-03,11946
B02682,2015-03-30,11799
B02682,2015-02-17,11780
B02682,2015-02-23,11710
B02682,2015-02-18,11700
B02682,2015-01-23,11698
B02682,2015-01-10,11648
B02682,2015-01-29,11422
B02682,2015-03-03,11392
B02682,2015-03-04,11364
B02682,2015-04-06,11318
B02682,2015-02-04,11312
B02682,2015-03-24,11291
B02682,2015-03-10,11284
B02682,2015-01-17,11254
B02682,2015-02-16,11239
B02682,2015-01-16,11238
B02682,2015-01-18,11137
B02682,2015-03-01,10858
B02682,2015-02-22,10844
B02682,2015-03-15,10783
B02682,2015-03-17,10739
